Month,1,2,3,4,5
gennaio,Darfo Boario Terme,Rezzato,Soresina,Codogno,Meda
febbraio,Rezzato,Mantova,Ponti sul Mincio,Brescia,Soresina
marzo,Rezzato,Soresina,Codogno,Brescia,Casirate d'Adda
aprile,Spinadesco,Soresina,Casirate d'Adda,Dalmine,Darfo Boario Terme
maggio,Spinadesco,Soresina,Codogno,Casirate d'Adda,Brescia
giugno,Borgocarbonara,Spinadesco,Codogno,Rezzato,Soresina
luglio,Borgocarbonara,Spinadesco,Soresina,Casirate d'Adda,Codogno
agosto,Soresina,Codogno,Spinadesco,Crema,Borgocarbonara
settembre,Soresina,Spinadesco,Casirate d'Adda,Cremona,Crema
ottobre,Soresina,Codogno,Rezzato,Crema,Spinadesco
novembre,Soresina,Rezzato,Spinadesco,Codogno,Cremona
dicembre,Rezzato,Meda,Soresina,Mantova,Cremona
