Month,1,2,3,4,5
January,Darfo Boario Terme,Rezzato,Soresina,Codogno,Meda
February,Rezzato,Mantova,Ponti sul Mincio,Brescia,Soresina
March,Rezzato,Soresina,Codogno,Brescia,Casirate d'Adda
April,Spinadesco,Soresina,Casirate d'Adda,Dalmine,Darfo Boario Terme
May,Spinadesco,Soresina,Codogno,Casirate d'Adda,Brescia
June,Borgocarbonara,Spinadesco,Codogno,Rezzato,Soresina
July,Borgocarbonara,Spinadesco,Soresina,Casirate d'Adda,Codogno
August,Soresina,Codogno,Spinadesco,Crema,Borgocarbonara
September,Soresina,Spinadesco,Casirate d'Adda,Cremona,Crema
October,Soresina,Codogno,Rezzato,Crema,Spinadesco
November,Soresina,Rezzato,Spinadesco,Codogno,Cremona
December,Rezzato,Meda,Soresina,Mantova,Cremona
