antecedents,consequents,support,confidence,lift,leverage,conviction
RAIN_LOW,HUMIDITY_LOW,0.23761861432471076,0.38423541776142933,1.384507292196101,0.06599177229645325,1.1732973900927173
HUMIDITY_LOW,RAIN_LOW,0.23761861432471076,0.8562060889929742,1.384507292196101,0.06599177229645325,2.6536635318456514
RAIN_LOW,NO2_HIGH,0.22923436890679838,0.37067787703625854,1.1237930672078569,0.02525164682403333,1.0648834064854005
NO2_HIGH,RAIN_LOW,0.22923436890679838,0.6949753694581281,1.1237930672078569,0.02525164682403333,1.2509830995055407
TEMP_LOW,NO2_HIGH,0.22091511763941246,0.7166350411132195,2.172639752230147,0.11923460782979033,2.364987854218121
NO2_HIGH,TEMP_LOW,0.22091511763941246,0.6697536945812808,2.172639752230147,0.11923460782979033,2.0945964654350555
NO2_MID,RAIN_LOW,0.20395164435200833,0.6207715133531158,1.0038035212244918,0.0007727950656285232,1.0062025168908506
RAIN_LOW,NO2_MID,0.20395164435200833,0.32979506043089857,1.0038035212244916,0.0007727950656285232,1.0018645483581246
RAIN_LOW,TEMP_HIGH,0.20382165605095542,0.32958486600105097,1.0700554438261596,0.013343996947463105,1.0321854110414903
TEMP_HIGH,RAIN_LOW,0.20382165605095542,0.6617429837518464,1.0700554438261596,0.013343996947463105,1.1280790624040342
RAIN_LOW,TEMP_LOW,0.2009619134277915,0.3249605885444036,1.0541521432309073,0.010323479765022098,1.0247294192222685
TEMP_LOW,RAIN_LOW,0.2009619134277915,0.6519080750579802,1.0541521432309073,0.010323479765022098,1.096206577628486
O3_HIGH,TEMP_HIGH,0.20050695437410634,0.7331273764258555,2.3802274348360863,0.1162683847989623,2.5929700521075985
TEMP_HIGH,O3_HIGH,0.20050695437410634,0.6509812196665963,2.3802274348360863,0.1162683847989623,2.0815631006752318
O3_LOW,NO2_HIGH,0.19829715325620695,0.7231571462431856,2.192412975782789,0.10785016382192573,2.4207042984282103
NO2_HIGH,O3_LOW,0.19829715325620695,0.6011822660098523,2.192412975782789,0.10785016382192573,1.8198530734012597
O3_LOW,TEMP_LOW,0.19758221760041597,0.7205498933396539,2.3374194937642665,0.1130521543714907,2.475335408956535
TEMP_LOW,O3_LOW,0.19758221760041597,0.6409445498629559,2.3374194937642665,0.1130521543714907,2.021386052354525
RAIN_LOW,O3_HIGH,0.19101780839724425,0.3088807146610615,1.1293818145853356,0.02188297203778114,1.0512000315956966
O3_HIGH,RAIN_LOW,0.19101780839724425,0.6984315589353612,1.1293818145853356,0.02188297203778114,1.2653202582925929
RAIN_LOW,PM10_HIGH,0.18900298973092422,0.30562270099842354,1.2261566825454353,0.034860381024046594,1.0811808419004056
PM10_HIGH,RAIN_LOW,0.18900298973092422,0.7582790091264667,1.2261566825454353,0.034860381024046594,1.5785995927033232
NO2_LOW,TEMP_HIGH,0.18406343429091382,0.5569321533923304,1.808178542328423,0.08226848983045576,1.5618211205199255
TEMP_HIGH,NO2_LOW,0.18406343429091382,0.5975944292044735,1.8081785423284225,0.08226848983045576,1.6637561533987373
RAIN_LOW,NO2_LOW,0.17918887300142988,0.28975302154492905,0.8767236950816673,-0.025195785479527832,0.942636526281738
NO2_LOW,RAIN_LOW,0.17918887300142988,0.5421828908554572,0.8767236950816674,-0.025195785479527832,0.8334783696786876
PM10_HIGH,NO2_HIGH,0.17879890809827115,0.7173402868318123,2.174777862698377,0.09658411680164435,2.370888580359871
NO2_HIGH,PM10_HIGH,0.17879890809827115,0.5420689655172414,2.174777862698377,0.09658411680164435,1.6394333997891997
RAIN_LOW,HUMIDITY_MID,0.1737943585077343,0.2810299527062533,1.01955360819109,0.0033331320342354642,1.0074965018972002
HUMIDITY_MID,RAIN_LOW,0.1737943585077343,0.6305116717755247,1.01955360819109,0.0033331320342354642,1.0327272300438717
O3_HIGH,NO2_LOW,0.17151956323930848,0.627138783269962,1.897572727510646,0.08113063597836576,1.7955869758847263
NO2_LOW,O3_HIGH,0.17151956323930848,0.5189773844641101,1.8975727275106462,0.08113063597836576,1.5103335916447815
RAIN_LOW,O3_MID,0.1684648381645652,0.2724119810825013,1.0000789169495026,1.3293682029569265e-05,1.00002954450263
O3_MID,RAIN_LOW,0.1684648381645652,0.6184681460272011,1.0000789169495026,1.3293682029569265e-05,1.0001279153168896
RAIN_LOW,PM10_MID,0.1643052125308722,0.2656857593273778,1.0598499074438774,0.009278343747970763,1.020431744225888
PM10_MID,RAIN_LOW,0.1643052125308722,0.6554316826549131,1.0598499074438774,0.009278343747970763,1.1074165514719927
"O3_LOW, TEMP_LOW",NO2_HIGH,0.16248537631613155,0.8223684210526315,2.493194192377495,0.09731380772636741,3.772722677181275
"NO2_HIGH, O3_LOW",TEMP_LOW,0.16248537631613155,0.8194034742707309,2.6580944244422238,0.10135685701974591,3.8302660655277863
"NO2_HIGH, TEMP_LOW",O3_LOW,0.16248537631613155,0.7355104442483084,2.6822857774838758,0.10190817097876764,2.7441147037589757
