day,traffic,if_score
2023-01-01,55678,-1
2023-01-02,61954,-1
2023-01-03,70620,-1
2023-01-04,77677,-1
2023-01-05,86787,-1
2023-01-06,76665,-1
2023-01-07,91578,-1
2023-01-08,84598,-1
2023-03-05,99260,-1
2023-03-19,92213,-1
2023-03-31,158830,-1
2023-04-08,82197,-1
2023-04-09,57531,-1
2023-04-10,69775,-1
2023-04-16,113994,-1
2023-04-18,161995,-1
2023-04-19,167006,-1
2023-04-21,155385,-1
2023-04-25,88335,-1
2023-04-30,94187,-1
2023-05-01,91376,-1
2023-05-04,154847,-1
2023-05-07,108417,-1
2023-05-11,154534,-1
2023-05-14,109879,-1
2023-05-18,153480,-1
2023-06-02,81724,-1
2023-06-03,87891,-1
2023-06-04,86050,-1
2023-06-08,156547,-1
2023-06-10,118435,-1
2023-06-11,100751,-1
2023-06-17,113027,-1
2023-06-25,87020,-1
2023-07-02,83045,-1
2023-07-08,95907,-1
2023-07-09,78172,-1
2023-07-15,92401,-1
2023-07-16,75340,-1
2023-07-22,89739,-1
2023-07-23,75843,-1
2023-07-29,88765,-1
2023-07-30,70094,-1
2023-08-03,99165,-1
2023-08-04,83312,-1
2023-08-05,69660,-1
2023-08-06,53215,-1
2023-08-07,62935,-1
2023-08-08,63507,-1
2023-08-09,61979,-1
2023-08-10,58084,-1
2023-08-11,55278,-1
2023-08-12,49235,-1
2023-08-13,39110,-1
2023-08-14,39785,-1
2023-08-15,34559,-1
2023-08-16,42207,-1
2023-08-17,45500,-1
2023-08-18,45229,-1
2023-08-19,45367,-1
2023-08-20,41580,-1
2023-08-21,53118,-1
2023-08-22,57291,-1
2023-08-23,58936,-1
2023-08-24,60896,-1
2023-08-25,63501,-1
2023-08-26,60201,-1
2023-08-27,59313,-1
2023-08-28,81161,-1
2023-09-01,110740,-1
2023-09-03,91694,-1
2023-09-14,152870,-1
2023-09-19,156196,-1
2023-09-20,160800,-1
2023-09-21,161041,-1
2023-09-22,155643,-1
2023-09-28,153096,-1
2023-10-05,155093,-1
2023-10-12,154045,-1
2023-10-15,108499,-1
2023-11-01,94973,-1
2023-11-10,158408,-1
2023-12-07,92134,-1
2023-12-08,82338,-1
2023-12-10,93827,-1
2023-12-14,154076,-1
2023-12-15,154350,-1
2023-12-17,113809,-1
2023-12-24,84510,-1
2023-12-25,66145,-1
2023-12-26,66198,-1
2023-12-27,82974,-1
2023-12-28,82759,-1
2023-12-29,78581,-1
2023-12-30,75172,-1
2023-12-31,60822,-1
