antecedent,consequent,n_consequents,support,confidence,lift
TOURISM_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,3,0.06872852233676977,0.20512820512820515,2.6529914529914533
TOURISM_LOW,NO2_HIGH + PM10_HIGH + PM25_HIGH,3,0.08934707903780069,0.2666666666666667,2.6305084745762715
TOURISM_LOW,PM10_HIGH + PM25_HIGH,2,0.09965635738831616,0.2974358974358975,2.5457013574660636
TOURISM_LOW,O3_LOW + PM25_HIGH,2,0.07216494845360824,0.21538461538461537,2.507076923076923
TOURISM_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,3,0.06872852233676977,0.20512820512820515,2.4871794871794877
TOURISM_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,3,0.10481099656357389,0.3128205128205129,2.3955465587044538
TOURISM_LOW,O3_LOW + PM10_HIGH,2,0.11168384879725086,0.33333333333333337,2.3950617283950617
TOURISM_LOW,NO2_HIGH + PM25_HIGH,2,0.09621993127147767,0.2871794871794872,2.387692307692308
TOURISM_LOW,NO2_HIGH + PM10_HIGH,2,0.15807560137457044,0.47179487179487184,2.326988265971317
TOURISM_LOW,PM25_HIGH,1,0.10824742268041238,0.32307692307692315,2.293058161350845
TOURISM_LOW,NO2_HIGH + O3_LOW,2,0.140893470790378,0.4205128205128206,2.128160535117057
TOURISM_LOW,PM10_HIGH,1,0.17869415807560138,0.5333333333333334,2.069333333333334
TOURISM_LOW,O3_LOW,1,0.1563573883161512,0.46666666666666673,2.0118518518518522
TOURISM_LOW,NO2_HIGH,1,0.22336769759450173,0.6666666666666667,2.0000000000000004
TOURISM_HIGH,NO2_LOW + O3_HIGH,2,0.11512027491408934,0.34536082474226804,1.7179487179487178
TOURISM_HIGH,O3_HIGH,1,0.12371134020618557,0.3711340206185567,1.6363636363636365
TOURISM_HIGH,NO2_LOW,1,0.18213058419243985,0.5463917525773195,1.6307692307692307
TOURISM_HIGH,NO2_LOW + PM10_LOW,2,0.1013745704467354,0.30412371134020616,1.5803571428571426
TOURISM_HIGH,PM25_MID,1,0.07216494845360824,0.2164948453608247,1.5555555555555551
TOURISM_HIGH,NO2_MID + PM10_MID,2,0.06872852233676977,0.20618556701030927,1.4814814814814814
TOURISM_HIGH,PM10_LOW,1,0.12199312714776632,0.36597938144329895,1.410596026490066
TOURISM_HIGH,PM25_LOW,1,0.06701030927835051,0.20103092783505155,1.4096385542168677
TOURISM_HIGH,NO2_MID + O3_MID,2,0.07216494845360824,0.2164948453608247,1.2857142857142854
TOURISM_HIGH,PM10_MID,1,0.10824742268041238,0.3247422680412371,1.2684563758389262
TOURISM_HIGH,O3_MID,1,0.09450171821305842,0.28350515463917525,1.2595419847328244
TOURISM_MID,PM10_MID,1,0.10481099656357389,0.3160621761658031,1.23455158743958
TOURISM_MID,NO2_MID + O3_MID,2,0.06872852233676977,0.20725388601036268,1.2308343026329702
TOURISM_HIGH,NO2_MID,1,0.13573883161512026,0.4072164948453608,1.227979274611399
TOURISM_MID,NO2_MID,1,0.12886597938144329,0.38860103626943,1.171843539423877
TOURISM_MID,PM10_LOW,1,0.09965635738831616,0.3005181347150259,1.1582884397625501
TOURISM_MID,O3_MID,1,0.08247422680412371,0.24870466321243523,1.1049321678598267
TOURISM_MID,O3_HIGH,1,0.07903780068728522,0.23834196891191708,1.0508714083843618
